review_id,review_text,sentiment
1,Would definitely recommend to others.,positive
2,"Incredible results, much better than expected.",positive
3,Product arrived damaged and unusable.,negative
4,Instructions were confusing and unhelpful.,negative
5,"Really bad quality, broke after two days.",negative
6,"Very disappointed, would not buy again.",negative
7,Absolutely love it! Works perfectly.,positive
8,User-friendly and intuitive design.,positive
9,Instructions were confusing and unhelpful.,negative
10,"Met all my needs, great job.",positive
11,"Incredible results, much better than expected.",positive
12,"Very disappointed, would not buy again.",negative
13,High quality and great value for money.,positive
14,Overpriced and underdelivers.,negative
15,"Very satisfied, will buy again!",positive
16,"Really bad quality, broke after two days.",negative
17,Product arrived damaged and unusable.,negative
18,Product arrived damaged and unusable.,negative
19,Product arrived damaged and unusable.,negative
20,Fast delivery and excellent performance.,positive
21,"Does not work as intended, total waste.",negative
22,Would definitely recommend to others.,positive
23,High quality and great value for money.,positive
24,User-friendly and intuitive design.,positive
25,"Terrible experience, not worth the money.",negative
26,"Terrible experience, not worth the money.",negative
27,"Met all my needs, great job.",positive
28,Top-notch build and very durable.,positive
29,High quality and great value for money.,positive
30,Customer service was rude and unhelpful.,negative
31,"Very satisfied, will buy again!",positive
32,"Met all my needs, great job.",positive
33,"Not as described, very misleading.",negative
34,High quality and great value for money.,positive
35,"Incredible results, much better than expected.",positive
36,Customer service was rude and unhelpful.,negative
37,Instructions were confusing and unhelpful.,negative
38,"Does not work as intended, total waste.",negative
39,Overpriced and underdelivers.,negative
40,Instructions were confusing and unhelpful.,negative
41,Fast delivery and excellent performance.,positive
42,"Met all my needs, great job.",positive
43,"Really bad quality, broke after two days.",negative
44,User-friendly and intuitive design.,positive
45,"Terrible experience, not worth the money.",negative
46,"Does not work as intended, total waste.",negative
47,"Does not work as intended, total waste.",negative
48,"Really bad quality, broke after two days.",negative
49,Top-notch build and very durable.,positive
50,"Not as described, very misleading.",negative
